nome;cognome;nascita;osm_id;
Leandro;Valentini;A958;244840216;
Raffaella;Villa;A959;244840217;
Liberato;Amato;A960;244840218;
Romina;Barbieri;A961;244840219;
Lorenzo;Basile;A963;244840220;
Rosalba;Bernardi;A962;244840221;
Luciano;Caputo;A964;244840222;
Rosalia;Carbone;A965;244843405;
Luigi;Conti;A968;244843406;
Rossana;Coppola;A970;244843407;
Marco;Damico;A971;244843408;
Rossella;De Angelis;A972;244843409;
Mariano;De Rosa;A973;244843410;
Rosalinda;De Luca;A975;244843411;
Marino;D'Angelo;A976;244843412;
Sabrina;D'Amico;A977;244843413;
Mario;D'Amore;A978;244843414;
Serena;De Santis;A979;244843415;
Marzio;Donati;A981;244843416;
Silvana;Farina;A982;244921169;
Massimiliano;Ferraro;A983;244921171;
Silvia;Ferro;A984;244921173;
Maurizio;Fontana;A986;244921175;
Simona;Gallo;A987;244921178;
Michele;Gatti;A988;244921180;
Stefania;Giordano;A989;244921182;
Nazzareno;Grassi;A990;244921185;
Stefania;Greco;A991;244921187;
Nazario;Guerra;A993;244921189;
Susanna;Lombardo;A998;244921192;
Nicola;Longo;A992;244921194;
Teresa;Marino;A995;244921197;
Orazio;Martini;A999;244921199;
Tiziana;Martinelli;B001;244921200;
Ottavio;Mariani;B002;244921201;
Valentina;Mazzola;B003;244921202;
Pasquale;Mazzoli;B005;244921204;
Valeria;Messina;B007;244921205;
Patrizio;Montagna;M352;244921206;
Vanessa;Montanari;B009;244921207;
Pietro;Napolitano;M429;244921209;
Vera;Pagano;B010;244921210;
Pompeo;Pellegrini;M353;244921211;
Vittoria;Piazza;M396;244921212;
Primo;Pinto;B026;244921214;
Vittoria;Pugliese;B028;244921215;
Prospero;Riva;B033;244921216;
Vittoria;Rizzi;B035;244921217;
Raffaele;Rizzo;B017;244921218;
Vittoria;Romano;B036;244921220;
Raimondo;Rossetti;B037;244921221;
Vittoria;Ruggiero;B038;244921222;
Raniero;Russo;B043;244921223;
Vittoria;Sacco;B044;244921224;
Remigio;Sartori;B042;244921225;
Vittoria;Serra;M421;244921226;
Renato;Silvestri;B006;244921227;
Vittoria;Sorrentino;A996;244921228;
Riccardo;Testa;M402;244921229;
Vittoria;Valentini;B046;244921230;
Roberto;Villa;M340;244921231;
Vittoria;Vitale;M406;244930802;
Rocco;Amato;B015;244930803;
Vittoria;Barbieri;B016;244930804;
Rodolfo;Basile;B018;244930805;
Vittoria;Bernardi;B019;244930806;
Rocco;Caputo;B020;244930807;
Vittoria;Carbone;B021;244930808;
Rolando;Conti;M370;244930809;
Vittoria;Coppola;B024;244930810;
Romano;Damico;B025;244930811;
Vittoria;De Angelis;B029;244930812;
Romeo;De Rosa;B030;244930813;
Vittoria;De Luca;B031;244930814;
Romualdo;D'Angelo;B008;244930815;
Vittoria;D'Amico;B040;244930816;
Rosario;D'Amore;B041;244930817;
Vittoria;De Santis;B048;244930818;
Ruggero;Donati;B049;244930819;
Vittoria;Farina;B051;244930820;
Salvatore;Ferraro;B054;244930821;
Vittoria;Ferro;B055;244930822;
Samuele;Fontana;B056;244930823;
Vittoria;Gallo;B057;244930824;
Sandro;Gatti;B058;244930825;
Vittoria;Giordano;B061;244930826;
Santino;Grassi;B062;244930827;
Vittoria;Greco;B063;244930828;
Santo;Guerra;B064;244930829;
Vittoria;Lombardo;B067;244930830;
Sebastiano;Longo;B068;244930831;
Vittoria;Marino;B069;244930832;
Secondo;Martini;B070;244931198;
Vittoria;Martinelli;B073;244931199;
Sergio;Mariani;B071;244931200;
Vittoria;Mazzola;B075;244931201;
Silvano;Mazzoli;B076;244931202;
Vittoria;Messina;B077;244931203;
Silverio;Montagna;B079;244931204;
Vittoria;Montanari;B080;244931205;
Siro;Napolitano;B081;244946503;
Vittoria;Pagano;B082;244946504;
Stefano;Pellegrini;B083;244946505;
Vittoria;Piazza;B084;244946506;
Taddeo;Pinto;B085;244946507;
Vittoria;Pugliese;B086;244946508;
Terenzio;Riva;B088;244946509;
Vittoria;Rizzi;B091;244946510;
Tiberio;Rizzo;B094;244946511;
Vittoria;Romano;B097;244946512;
Tiburzio;Rossetti;B099;244948064;
Vittoria;Ruggiero;B098;244948065;
Timoteo;Russo;B100;244948066;
Vittoria;Sacco;B101;244948067;
Tito;Sartori;B102;244948068;
Vittoria;Serra;A720;244948069;
Tommaso;Silvestri;B104;244948070;
Vittoria;Sorrentino;B105;244948071;
Tonino;Testa;B106;244948072;
Vittoria;Valentini;B107;244948073;
Ubaldo;Villa;B109;244948074;
Vittoria;Vitale;B110;244948075;
Uberto;Amato;B111;244948076;
Vittoria;Barbieri;B112;244948077;
Ugo;Basile;B114;244948078;
Vittoria;Bernardi;B115;244948079;
Ulisse;Caputo;B116;244948080;
Vittoria;Carbone;B117;244948081;
Urbano;Conti;B118;244948564;
Vittoria;Coppola;B120;244948565;
Valentino;Damico;B121;245171123;
Vittoria;De Angelis;B123;245171124;
Valerio;De Rosa;B124;245171125;
Vittoria;De Luca;B126;245171126;
Vanni;D'Angelo;B128;245171127;
Vittoria;D'Amico;B132;245171128;
Vincenzo;D'Amore;B134;245171129;
Vittoria;De Santis;B137;245171130;
Vitale;Donati;B138;245171131;
Vittoria;Farina;B141;245171132;
Vittorio;Ferraro;B142;245171133;
Vittoria;Ferro;B143;245171134;
Vittore;Fontana;B144;245171135;
Vittoria;Gallo;B145;245171136;
Zaccheo;Gatti;B149;245171137;
Vittoria;Giordano;B150;245171138;
Zaccaria;Grassi;B152;245171139;
Vittoria;Greco;B153;245174390;
Zeno;Guerra;B154;245174391;
Vittoria;Lombardo;B156;245174392;
Alessio;Bianchi;B157;245174393;
Vittoria;Romano;B158;245174394;
Christian;Colombo;B159;245174395;
Vittoria;Ricci;B160;245174396;
Fabio;Marino;B161;245174397;
Vittoria;Greco;B162;245174398;
Federico;Bruno;B166;245174399;
Vittoria;Gallo;B167;245174400;
Filippo;Conti;B169;245174402;
Vittoria;De Luca;B171;245174403;
Giacomo;Costa;B172;245174404;
Vittoria;Mancini;B173;245174405;
Giammaria;Rizzo;B175;245174407;
Vittoria;Lombardi;B176;245174408;
Guglielmo;Moretti;B179;245188114;
Vittoria;Barbieri;B178;245188117;
Mauro;Fontana;B180;245188118;
Vittoria;Santoro;B181;245188119;
Simone;Mariani;B182;245188120;
Vittoria;Rinaldi;B183;245188121;
Tiziano;Ferrara;B184;245188122;
Vittoria;Martini;B187;245188123;
Adriano;Leone;B188;245188124;
Vittoria;Gatti;B191;245188125;
Alessandro;Benedetti;B192;245188126;
Vittoria;Sartori;B193;245188127;
Antonio;Monti;B194;245188128;
Vittoria;Villa;B195;245188129;
Augusto;Amato;B196;245188130;
Vittoria;Marini;B197;245188131;
Bruno;De Santis;B198;245188132;
Vittoria;Palumbo;B200;245188133;
Carlo;Bernardi;B201;245188134;
Vittoria;Fiore;B202;245188135;
Dario;Ferri;B203;245188136;
Vittoria;Pellegrini;B204;245188137;
Edoardo;Damico;B205;245188138;
Vittoria;Basile;B207;245188139;
Enrico;Graziani;B209;245188140;
Vittoria;Rossetti;B212;245188141;
Ezio;Palmieri;B213;245188142;
Vittoria;Donati;B214;245188143;
Fabio;Battaglia;B215;245188144;
Vittoria;Martino;B216;245188145;
Federico;Rizzi;B217;245188146;
Vittoria;Neri;B218;245188147;
Filippo;Vitale;B219;245188148;
Vittoria;De Angelis;B220;245188149;
Francesco;Serra;B221;245188150;
Vittoria;Coppola;B223;245188151;
Franco;Testa;B225;245188152;
Vittoria;Piazza;B227;245188153;
Gabriele;Ferraro;B228;245188154;
Vittoria;Valentini;B229;245188155;
Gennaro;Bianchini;B230;245188156;
Vittoria;Benedetti;B232;245188157;
Giacomo;Parisi;B234;245188158;
Vittoria;Sacco;B235;245188159;
Giampaolo;De Rosa;B236;245188160;
Vittoria;Ferretti;B237;245188161;
Giancarlo;Morelli;B238;245188162;
Vittoria;Contini;B239;245188163;
Gianfranco;Mazzoli;B240;245188164;
Vittoria;Rosati;B242;245188165;
Gianluca;De Luca;B243;245188166;
Vittoria;Costa;B246;245188167;
Gianmarco;Gallo;B247;245188168;
Vittoria;Santoro;B248;245188169;
Gianmaria;Caputo;B249;245188170;
Vittoria;D'Angelo;B250;245188171;
Gianpaolo;Benedetto;B251;245188172;
Vittoria;Marchetti;B255;245188173;
Gianpiero;D'Amico;B256;245188174;
Vittoria;Moretti;B258;245188175;
Giorgio;Silvestri;B259;245188176;
Vittoria;Rinaldi;B261;245188177;
Giovanni;Montanari;B262;245188178;
Vittoria;Caruso;B264;245188179;
Giuseppe;Gatti;B265;245188180;
Vittoria;Battaglia;B266;245188181;
Gregorio;Silvestri;B267;245188182;
Vittoria;Palumbo;B269;245188183;
Guido;Fiore;B270;245188184;
Vittoria;Sartori;B272;245188185;
Iacopo;Damico;B274;245188186;
Vittoria;Villa;B275;245188187;
Italo;Coppola;B276;245188188;
Vittoria;Farina;B278;245188665;
Ivan;Lombardo;B279;245188666;
Vittoria;De Santis;B280;245188667;
Leonardo;Bernardi;B281;245188668;
Vittoria;Fiore;B282;245188669;
Liberato;Mancini;B284;245188670;
Vittoria;Rizzo;B285;245188671;
Lorenzo;Mariani;B286;245188672;
Vittoria;Carbone;B287;245188673;
Luca;Ruggiero;B288;245188674;
Vittoria;Sorrentino;B289;245188675;
Luciano;Ferro;B292;245188676;
Vittoria;Fabbri;B293;245188677;
Marcello;Rossi;B294;245188678;
Vittoria;Russo;B295;245188679;
Marco;Ferrari;B296;245188680;
Vittoria;Esposito;B297;245188681;
Mario;Bianchi;B300;245188682;
Vittoria;Romano;B301;245188683;
Massimiliano;Colombo;B302;245188684;
Vittoria;Ricci;B303;245188685;
Massimo;Marino;B304;245192287;
Vittoria;Greco;B305;245192288;
Mauro;Bruno;B306;245192289;
Vittoria;Gallo;B309;245192290;
Michele;Conti;B311;245192291;
Vittoria;De Luca;B313;245192292;
Niccolò;Costa;B314;245192293;
Vittoria;Mancini;B315;245192294;
Nicola;Rizzo;B319;245192295;
Vittoria;Lombardi;B326;245192296;
Orazio;Moretti;B328;245192297;
Vittoria;Barbieri;B332;245192298;
Ottavio;Fontana;B335;245192299;
Vittoria;Santoro;B345;245192300;
Paolo;Mariani;B346;245192301;
Vittoria;Rinaldi;M425;245192302;
Pasquale;Caruso;B349;245192303;
Vittoria;Ferrara;B350;245192304;
Piero;Galli;B351;245192305;
Vittoria;Martini;B352;245192306;
Pietro;Leone;B354;245192307;
Vittoria;Gatti;B355;245192308;
Raffaele;Bianco;B358;245192309;
Vittoria;Fabbri;B357;245192310;
Raimondo;Sartori;B361;245192311;
Vittoria;Monti;B362;245192312;
Renato;Villa;B364;245192313;
Vittoria;Amato;B365;245192314;
Riccardo;Marini;B366;245192315;
Vittoria;De Santis;B367;245192316;
Roberto;Palumbo;B368;245192317;
Vittoria;Bernardi;B369;245192318;
Rocco;Fiore;B371;245192319;
Vittoria;Farina;B374;245192320;
Rodolfo;Ferri;B375;245192322;
Vittoria;Pellegrini;B376;245192323;
Rocco;Damico;B377;245193809;
Vittoria;Basile;B378;245194564;
Rolando;Rossetti;B379;245194565;
Vittoria;Graziani;B380;245194566;
Romano;Palmieri;B381;245194581;
Vittoria;Donati;B382;245194585;
Romeo;Battaglia;B383;245194586;
Vittoria;Martino;B384;245197850;
Romualdo;Rizzi;B385;245197851;
Vittoria;Neri;B388;245197852;
Rosario;Vitale;B389;245197854;
Vittoria;De Angelis;B390;245197855;
Ruggero;Serra;B391;245590639;
Vittoria;Coppola;B392;245590640;
Salvatore;Testa;B393;245590641;
Vittoria;Piazza;B394;245590644;
Samuele;Ferraro;B395;245590645;
Vittoria;Valentini;B396;245590646;
Sandro;Bianchini;B397;245590647;
Vittoria;Benedetti;B398;245590648;
Santino;Parisi;B399;245591035;
Vittoria;Sacco;B400;245591036;
Santo;De Rosa;B402;245591037;
Vittoria;Ferretti;B403;245591038;
Sebastiano;Morelli;B404;245591039;
Vittoria;Russo;B405;245591040;
Secondo;Contini;B406;245591041;
Vittoria;Mazzoli;B408;245591042;
Sergio;Colombo;B410;245628359;
Vittoria;Mancini;B409;245628360;
Silvano;Rosati;B413;245628361;
Vittoria;De Luca;B415;245628362;
Silverio;Costa;B416;245628363;
Vittoria;Gallo;B417;245628364;
Siro;Santoro;B419;245628365;
Vittoria;Caputo;B418;245628366;
Stefano;D'Angelo;B423;245628367;
Vittoria;Benedetto;B424;245628368;
Taddeo;Marchetti;B425;245628369;
Vittoria;D'Amico;B426;245628370;
Terenzio;Moretti;B427;245628371;
Vittoria;Silvestri;B428;245628372;
Tiberio;Rinaldi;B429;245628373;
Vittoria;Montanari;B430;245628374;
Tiburzio;Caruso;B431;245628375;
Vittoria;Gatti;B432;245628376;
Timoteo;Battaglia;B433;245628377;
Vittoria;Silvestri;B434;245628378;
Tito;Palumbo;B435;245628379;
Vittoria;Fiore;B436;245628380;
Tommaso;Sartori;B437;245628381;
Vittoria;Damico;B439;245628382;
Tonino;Villa;B440;245628383;
Vittoria;Coppola;B441;245628384;
Ubaldo;Farina;B442;245628385;
Vittoria;Lombardo;B443;245628386;
Uberto;Mariani;B444;245628387;
Vittoria;Ferri;B446;245628388;
Ugo;Monti;B445;245628389;
Vittoria;Neri;B447;245628390;
Ulisse;Pellegrini;B448;245628391;
Vittoria;Basile;B450;245628392;
Urbano;Rossetti;B452;245628393;
Vittoria;Graziani;B453;245628394;
Valentino;Palmieri;B455;245628395;
Vittoria;Donati;B457;245628396;
Valerio;Martino;B460;245628397;
Vittoria;Rizzi;B461;245628398;
Vanni;Vitale;B462;245628399;
Vittoria;De Angelis;B463;245628400;
Vincenzo;Serra;B465;245628401;
Vittoria;Testa;B467;245628402;
Vitale;Piazza;B468;245628403;
Vittoria;Ferraro;B469;245628917;
Vittorio;Valentini;B471;245628918;
Vittoria;Bianchini;B472;245628919;
Vittore;Benedetti;B470;245628920;
Vittoria;Parisi;B473;245628921;
Zaccheo;Sacco;B474;245628926;
Vittoria;De Rosa;B476;245631634;
Zaccaria;Ferretti;B477;245631635;
Vittoria;Morelli;B481;245631637;
Mario;Lombardi;B482;245631639;
Sofia;Russo;B483;245631641;
Francesco;Contini;B484;245631642;
Giulia;Mazzoli;B485;245631644;
Leonardo;Rosati;B486;245631646;
Chiara;De Luca;B490;245631648;
Luca;Costa;B492;245631650;
Martina;Gallo;B493;245631652;
Lorenzo;Santoro;B496;245631653;
Aurora;Caputo;B497;245631654;
Andrea;D'Angelo;B498;245631656;
Alice;Benedetto;B499;245631657;
Matteo;Marchetti;B500;245631659;
Emma;D'Amico;B501;245631660;
Gabriele;Moretti;B502;245631662;
Greta;Silvestri;B504;245631663;
Alessandro;Rinaldi;B505;245631665;
Giorgia;Montanari;B507;245631666;
Giuseppe;Caruso;B506;245631668;
Valentina;Gatti;M373;245631669;
Edoardo;Battaglia;B511;245631671;
Elena;Silvestri;B509;245631672;
Giovanni;Palumbo;B512;245631674;
Beatrice;Fiore;B513;245631675;
Davide;Sartori;B514;245631677;
Giuliana;Damico;B515;245631678;
Federico;Villa;B516;245631680;
Sara;Coppola;B526;245631682;
Alessio;Farina;B529;245631683;
Eleonora;Lombardo;B538;245631685;
Antonio;De Santis;B553;245631687;
Vittoria;Bernardi;B564;245631689;
Tommaso;Fiore;B570;245631691;
Francesca;Mancini;B519;245631692;
Simone;Rizzo;B520;247327150;
Carolina;Mariani;B521;256301644;
Marco;Carbone;B522;256301645;
Chiaretta;Ruggiero;B524;256301646;
Filippo;Sorrentino;B525;260586445;
Teresa;Ferro;B527;260586446;
Michele;Fabbri;B528;260586447;
Angelica;Napolitano;B530;260586448;
Mattia;Bianco;B531;260586449;
Caterina;Russo;B533;260586450;
Stefano;Moretti;B532;260586451;
Ludovica;Martinelli;B534;260586452;
Christian;Riva;B535;260586514;
Irene;Guerra;B536;260586790;
Niccolò;De Angelis;B537;260586791;
Rebecca;Palumbo;B539;260586792;
Raffaele;Pagano;B541;260586894;
Elisa;Martino;B543;6447185;
Daniele;Pellegrino;B542;266106840;
Veronica;Giordano;B544;266106841;
Fabio;Testa;B546;266106842;
Gloria;Martini;M311;266106843;
Paolo;Bernardini;B549;266106844;
Benedetta;Messina;B550;266106845;
Enrico;Pugliese;B551;266106846;
Adelaide;Esposito;B554;266106847;
Manuel;D'Amore;B555;266106848;
Rosanna;Pinto;B556;285491590;
Vincenzo;Benedetti;B557;285875312;
Marika;Ferrara;B559;285875313;
Valerio;Rizzo;B562;285875314;
Marta;Longo;B561;285875315;
Cristiano;Barbieri;B563;285875316;
Isabella;Amato;B565;285875317;
Michele;Leone;B566;285875318;
Angelina;Orlando;B567;285875763;
Massimo;Barone;B569;285875764;
Benedetta;Montagna;B572;285875765;
Renato;Caputo;B577;285875766;
Bianca;Rizzo;B573;285875767;
Salvatore;Rossati;B574;285875768;
Carlotta;Bianco;B576;285875769;
Giulio;Bruno;B578;285876963;
Letizia;Caruso;B579;285876964;
Pietro;Colombo;B580;285876965;
Roberta;Coppola;B581;285876966;
Giorgio;Costa;B582;285876967;
Alessia;De Luca;B584;285876968;
Danilo;De Santis;B586;285876969;
Elena;Donati;B588;285876970;
Umberto;Esposito;B587;285876971;
Aurora;Farina;B589;285876972;
Fernando;Fabbri;B590;285876973;
Giuliana;Ferri;B591;285876974;
Dario;Ferrara;B592;285876975;
Ginevra;Ferrari;B593;285876976;
Rocco;Fiore;B594;285876977;
Carlotta;Fontana;B597;285876978;
Gino;Gallo;B598;285876979;
Eleonora;Gatti;B602;285876980;
Renzo;Graziani;B603;285876981;
Serena;Greco;B604;285876982;
Dante;Leone;B605;285876983;
Gabriella;Lombardi;B606;285876985;
Giosuè;Mancini;B607;285876986;
Giovanna;Mariani;B608;285877853;
Marcello;Martini;B609;285877854;
Giada;Marini;B610;285877855;
Achille;Marino;B613;285877856;
Lucrezia;Martino;B612;285877858;
Agostino;Morelli;B615;285877859;
Tiziana;Moretti;B616;285877860;
Alfonso;Neri;B617;285877862;
Rachele;Palmieri;B618;4559696;
Armando;Palumbo;B619;285878925;
Teresa;Parisi;B620;285878927;
Augusto;Piazza;B621;285878931;
Antonella;Pellegrini;C669;285878933;
Brando;Rinaldi;B624;285878934;
Paola;Riva;B626;285878935;
Calogero;Rizzi;B627;285878937;
Livia;Romano;B628;285878938;
Carmelo;Rossetti;B631;285878939;
Noemi;Ruggiero;B629;285878940;
Ciro;Russo;B630;285878941;
Ambra;Sacco;B633;285880787;
Costantino;Sartori;B634;285880788;
Arianna;Santoro;B635;285880789;
Damiano;Sorrentino;B636;285880790;
Celeste;Silvestri;B637;285880799;
Daniele;Testa;B639;285880807;
Donatella;Valentini;B640;285881830;
Domenico;Villa;B641;285881831;
Elettra;Amato;B642;285881832;
Emidio;Barbieri;B643;285881833;
Emanuela;Basile;B644;285881834;
Emilio;Bernardi;B645;285881835;
Fiorella;Caputo;B646;285881836;
Ercole;Carbone;B647;285882862;
Flavia;Conti;B648;285882863;
Ernesto;Coppola;B649;285882865;
Francesca;Damico;B650;285882866;
Ezio;De Angelis;B651;285882867;
Gaia;De Rosa;B653;285882868;
Fabiano;De Luca;B655;285882869;
Gilda;D'Angelo;B656;285882870;
Fabrizio;D'Amico;B658;285882873;
Grazia;D'Amore;B660;285882874;
Federico;De Santis;B661;285882875;
Ilaria;Donati;B666;285882876;
Ferruccio;Farina;B664;285882881;
Imma;Ferraro;B663;285882882;
Filippo;Ferro;B667;285882883;
Jolanda;Fontana;B669;285882884;
Fortunato;Gallo;B670;285882885;
Letizia;Gatti;B671;285950162;
Fulvio;Giordano;B672;285950164;
Loredana;Grassi;B674;285950165;
Gavino;Greco;B675;285950166;
Maddalena;Guerra;B676;285950167;
Gennaro;Lombardo;B677;285950168;
Marcella;Longo;B679;285950169;
Gerardo;Marino;B680;285950170;
Maria;Martini;B678;285950171;
Giacomo;Martinelli;B681;285950172;
Marilena;Mariani;B682;285950173;
Giancarlo;Mazzola;B684;285950174;
Marina;Mazzoli;B685;285950175;
Gianluca;Messina;B686;285950176;
Maura;Montagna;B688;285950178;
Gianmarco;Montanari;B687;285950179;
Milena;Napolitano;B690;285950180;
Gianpaolo;Pagano;B691;285950181;
Miranda;Pellegrini;B692;285950182;
Giordano;Piazza;B693;285950183;
Monica;Pinto;B694;285950184;
Giosuè;Pugliese;B696;285950185;
Nadia;Riva;B695;285950186;
Giuliano;Rizzi;B697;286615343;
Natalia;Rizzo;B698;286615349;
Giuseppe;Romano;B701;286615352;
Nella;Rossetti;B703;286615353;
Graziano;Ruggiero;B704;286615354;
Nicoletta;Russo;B705;286615355;
Gregorio;Sacco;B706;289717569;
Nunzia;Sartori;B707;3848454;
Italo;Serra;B708;291653451;
Oriana;Silvestri;B710;291653452;
Ivano;Sorrentino;B709;294019271;
Patrizia;Testa;B711;294019272;
Jacopo;Valentini;B712;294019420;
Piera;Villa;B715;294260588;
Lazzaro;Vitale;B716;294260589;
Pierina;Amato;B718;294260590;
Leandro;Barbieri;B717;294260591;
Raffaella;Basile;B719;294260594;
Liberato;Bernardi;B720;294260597;
Romina;Caputo;B722;294260598;
Lorenzo;Carbone;B724;294260599;
Rosalba;Conti;B725;294260600;
Luciano;Coppola;B726;294260601;
Rosalia;Damico;B727;302022278;
Luigi;De Angelis;B729;305060718;
Rossana;De Rosa;B730;305060719;
Marco;De Luca;B731;305060720;
Rossella;D'Angelo;B732;305060721;
Mariano;D'Amico;B733;305060722;
Rosalinda;D'Amore;B734;308551815;
Marino;De Santis;B735;308551816;
Sabrina;Donati;B741;308551817;
Mario;Farina;B740;308551818;
Serena;Ferraro;B736;313265555;
Marzio;Ferro;B742;313591881;
Silvana;Fontana;B743;313591887;
Massimiliano;Gallo;B744;315140714;
Silvia;Gatti;B745;315140715;
Maurizio;Giordano;B748;315140716;
Simona;Grassi;B749;315140717;
Michele;Greco;B752;315610207;
Stefania;Guerra;B754;315610208;
Nazzareno;Lombardo;B755;315610209;
Stefania;Longo;M285;315610210;
Nazario;Marino;B756;315610211;
Susanna;Martini;B758;315610212;
Nicola;Martinelli;B759;315610213;
Teresa;Mariani;B760;315610214;
Orazio;Mazzola;B762;315610343;
Tiziana;Mazzoli;B763;318923234;
Ottavio;Messina;B765;319873656;
Valentina;Montagna;B766;319873657;
Pasquale;Montanari;B767;319873658;
Valeria;Napolitano;B768;319873659;
Patrizio;Pagano;B769;319874175;
Vanessa;Pellegrini;B771;319874177;
Pietro;Piazza;B772;319874178;
Vera;Pinto;B774;319875154;
Pompeo;Pugliese;B776;319875160;
Vittoria;Riva;B777;319876044;
Primo;Rizzi;B778;319876045;
Vittoria;Rizzo;B779;319876046;
Prospero;Romano;B780;319878738;
Vittoria;Rossetti;B781;319878739;
Raffaele;Ruggiero;B782;319878740;
Vittoria;Russo;B783;319878741;
Raimondo;Sacco;B784;319878742;
Vittoria;Sartori;B785;319878743;
Raniero;Serra;B787;319878747;
Vittoria;Silvestri;B788;319878754;
Remigio;Sorrentino;B789;319878755;
Vittoria;Testa;B790;319878756;
Renato;Valentini;B791;319878757;
Vittoria;Villa;B792;319878758;
Riccardo;Vitale;B794;319878759;
Vittoria;Amato;B795;319878760;
Roberto;Barbieri;B796;319878761;
Vittoria;Basile;B798;319878762;
Rocco;Bernardi;B801;319878763;
Vittoria;Caputo;B802;319880199;
Rodolfo;Carbone;B803;319881081;
Vittoria;Conti;B804;319885539;
Rocco;Coppola;B805;319885540;
Vittoria;Damico;B807;319886802;
Rolando;De Angelis;B808;319886819;
Vittoria;De Rosa;B809;319887311;
Romano;De Luca;B810;319887312;
Vittoria;D'Angelo;B812;4449222;
Romeo;D'Amico;B813;319887466;
Vittoria;D'Amore;B816;319887467;
Romualdo;De Santis;B817;319915318;
Vittoria;Donati;B818;319915320;
Rosario;Farina;B819;319915322;
Vittoria;Ferraro;B820;319915325;
Ruggero;Ferro;B822;319916194;
Vittoria;Fontana;B823;319916195;
Salvatore;Gallo;B825;319919016;
Vittoria;Gatti;B827;319919020;
Samuele;Giordano;B828;322481803;
Vittoria;Grassi;B826;322481809;
Sandro;Greco;B829;325382073;
Vittoria;Guerra;B830;325401429;
Santino;Lombardo;B832;325405786;
Vittoria;Bianchi;B835;325417385;
Santo;Romano;B836;325435018;
Vittoria;Colombo;B838;325437176;
Sebastiano;Ricci;B839;325437177;
Vittoria;Marino;B840;325437178;
Secondo;Greco;B841;325437179;
Vittoria;Bruno;B842;325437180;
Sergio;Gallo;B844;325437181;
Vittoria;Conti;B845;325437182;
Silvano;De Luca;B846;325437183;
Vittoria;Costa;B847;325437188;
Silverio;Mancini;B848;325437191;
Vittoria;Rizzo;B850;325437196;
Siro;Lombardi;B851;325438663;
Vittoria;Moretti;B853;325438665;
Stefano;Barbieri;B854;325438667;
Vittoria;Fontana;B856;325438668;
Taddeo;Santoro;B857;325438669;
Vittoria;Mariani;B858;325438670;
Terenzio;Rinaldi;B859;325438671;
Vittoria;Ferrara;B860;325438672;
Tiberio;Martini;B870;325438673;
Vittoria;Leone;B872;325438674;
Tiburzio;Gatti;B895;325438675;
Vittoria;Benedetti;B861;325438676;
Timoteo;Sartori;B862;325438677;
Vittoria;Monti;B864;325438678;
Tito;Villa;B865;325439871;
Vittoria;Amato;B866;325439872;
Tommaso;Marini;B867;325439874;
Vittoria;De Santis;B868;325439875;
Tonino;Palumbo;B869;325440601;
Vittoria;Bernardi;B871;325440608;
Ubaldo;Fiore;B873;325440616;
Vittoria;Ferri;B876;325440633;
Uberto;Pellegrini;B881;325690687;
Vittoria;Damico;B877;325691381;
Ugo;Basile;B875;326042811;
Vittoria;Graziani;B878;326054837;
Ulisse;Rossetti;B885;326056354;
Vittoria;Palmieri;B879;326056533;
Urbano;Donati;B880;326056656;
Vittoria;Battaglia;B882;326072456;
Valentino;Martino;B883;326073324;
Vittoria;Rizzi;B886;326086537;
Valerio;Neri;B889;326093361;
Vittoria;Vitale;B890;326094680;
Vanni;De Angelis;B887;326094949;
Vittoria;Serra;B888;326193094;
Vincenzo;Coppola;B891;326193095;
Vittoria;Testa;B892;326193235;
Vitale;Piazza;B893;326193525;
Vittoria;Ferraro;B894;326229831;
Vittorio;Valentini;M385;326229945;
Vittoria;Bianchini;B896;326230021;
Vittore;Benedetti;B897;326230703;
Vittoria;Parisi;B898;326230817;
Zaccheo;Sacco;B899;326230829;
Vittoria;De Rosa;B900;326230949;
Zaccaria;Ferretti;B901;326231046;
Vittoria;Morelli;B902;326231157;
Zeno;Contini;B905;4554864;
Vittoria;Mazzoli;B904;326236452;
Alessio;Rosati;B907;326236505;
Vittoria;De Luca;B910;326236730;
Christian;Costa;B911;326236839;
Vittoria;Gallo;B912;326236849;
Fabio;Santoro;B916;326236855;
Vittoria;Caputo;B917;326240555;
Federico;D'Angelo;B918;326240562;
Vittoria;Benedetto;B919;326240603;
Filippo;Marchetti;B920;326291423;
Vittoria;D'Amico;B921;326292376;
Giacomo;Moretti;B922;326294128;
Vittoria;Silvestri;B923;326294243;
Giammaria;Rinaldi;B924;326294290;
Vittoria;Montanari;B925;326294337;
Guglielmo;Caruso;B928;326294382;
Vittoria;Gatti;B927;326294383;
Mauro;Battaglia;B929;326294393;
Vittoria;Silvestri;B932;326294398;
Simone;Palumbo;M260;326294625;
Vittoria;Fiore;B933;326294873;
Tiziano;Sartori;B934;326294918;
Vittoria;Damico;B935;326294942;
Adriano;Villa;B936;326295027;
Vittoria;Coppola;B937;326296291;
Alessandro;Farina;B938;326333696;
Vittoria;Lombardo;B940;326362658;
Antonio;De Santis;B939;326362752;
Vittoria;Bernardi;B941;326362866;
Augusto;Fiore;B943;326378885;
Vittoria;Mancini;B945;326493799;
Bruno;Rizzo;B946;326493946;
Vittoria;Mariani;B947;326510539;
Carlo;Carbone;B948;326511378;
Vittoria;Ruggiero;B949;326512037;
