,nome,cognome,nascita,osm_id,Unnamed: 4,data_nascita,c_nome,c_cognome,anno_nascita,mese_nascita,genere,giorno_nascita,num_giorno,cod_fisc,num,year_built,total_floors,code,fclass,name,type,area
672,Teresa,Riva,A842,210631404,,1983-08-08 21:17:17.113702,TRS,RV,83,M,40,8,48,RVTRS83M48A842,83,1927,5,1500,building,,office,10982
673,Augusto,Guerra,A843,210821334,,1997-12-29 21:17:17.113702,GST,GRR,97,T,40,29,69,GRRGST97T69A843,63,2010,4,1500,building,,apartments,317
674,Antonella,De Angelis,A844,210821335,,1971-05-08 21:17:17.113702,NTNLL,DNGLS,71,E,40,8,48,DNGLSNTNLL71E48A844,84,1972,1,1500,building,,apartments,732
675,Brando,Palumbo,A845,210823614,,1998-08-26 21:17:17.113702,BRND,PLMB,98,M,40,26,66,PLMBBRND98M66A845,24,1995,5,1500,building,,,1168
676,Paola,Pagano,A846,210823615,,1992-07-02 21:17:17.113702,PL,PGN,92,L,0,2,2,PGNPL92L2A846,16,1957,9,1500,building,,,189
677,Calogero,Martino,A847,210823616,,1966-05-30 21:17:17.113702,CLGR,MRTN,66,E,40,30,70,MRTNCLGR66E70A847,50,1923,5,1500,building,,,728
678,Livia,Pellegrino,A848,217548307,,2002-10-07 21:17:17.113702,LV,PLLGRN,02,R,40,7,47,PLLGRNLV02R47A848,76,1914,9,1500,building,,roof,425
679,Carmelo,Giordano,A849,217548308,,1970-12-12 21:17:17.113702,CRML,GRDN,70,T,0,12,12,GRDNCRML70T12A849,88,1951,8,1500,building,,,289
680,Noemi,Testa,A850,217548309,,1993-01-25 21:17:17.113702,NM,TST,93,A,40,25,65,TSTNM93A65A850,34,1970,8,1500,building,,retail,5782
681,Ciro,Martini,A851,218244101,,1991-03-05 21:17:17.113702,CR,MRTN,91,C,0,5,5,MRTNCR91C5A851,25,2006,2,1500,building,,,191
682,Ambra,Bernardini,A852,218998183,,2002-03-17 21:17:17.113702,MBR,BRNRDN,02,C,0,17,17,BRNRDNMBR02C17A852,32,1994,4,1500,building,,grandstand,61
683,Costantino,Messina,A853,230063386,,1965-10-02 21:17:17.113702,CSTNTN,MSSN,65,R,0,2,2,MSSNCSTNTN65R2A853,26,1900,4,1500,building,,commercial,303
684,Arianna,Pugliese,A854,230063387,,1991-03-13 21:17:17.113702,RNN,PGLS,91,C,0,13,13,PGLSRNN91C13A854,31,2005,5,1500,building,,apartments,214
685,Damiano,Esposito,A855,230063388,,1999-08-25 21:17:17.113702,DMN,SPST,99,M,40,25,65,SPSTDMN99M65A855,94,1952,9,1500,building,,apartments,490
686,Celeste,D'Amore,A856,232545240,,1972-04-06 21:17:17.113702,CLST,DMR,72,D,0,6,6,DMRCLST72D6A856,69,1900,5,1500,building,,industrial,8764
687,Daniele,Pinto,A859,240414531,,2005-03-11 21:17:17.115485,DNL,PNT,05,C,40,11,51,PNTDNL05C51A859,23,1988,5,1500,building,,industrial,2057
688,Donatella,Benedetti,A861,240414532,,1969-05-13 21:17:17.115485,DNTLL,BNDTT,69,E,40,13,53,BNDTTDNTLL69E53A861,91,2014,1,1500,building,RACI,industrial,388
689,Domenico,Ferrara,A863,240414533,,1974-10-19 21:17:17.115485,DMNC,FRRR,74,R,0,19,19,FRRRDMNC74R19A863,73,1901,6,1500,building,,industrial,5902
690,Elettra,Rizzo,A864,240414534,,1981-03-09 21:17:17.115485,LTTR,RZZ,81,C,40,9,49,RZZLTTR81C49A864,59,1981,6,1500,building,,house,191
691,Emidio,Longo,A870,240415219,,1994-01-23 21:17:17.115485,MD,LNG,94,A,0,23,23,LNGMD94A23A870,61,1911,9,1500,building,,house,254
692,Emanuela,Barbieri,A872,240415220,,1986-01-04 21:17:17.115485,MNL,BRBR,86,A,0,4,4,BRBRMNL86A4A872,84,1981,9,1500,building,,house,274
693,Emilio,Amato,A874,240415221,,1990-11-29 21:17:17.115485,ML,MT,90,S,0,29,29,MTML90S29A874,84,1995,7,1500,building,,house,268
694,Fiorella,Leone,A876,240415222,,1985-07-06 21:17:17.115485,FRLL,LN,85,L,0,6,6,LNFRLL85L6A876,90,1961,5,1500,building,,house,298
695,Ercole,Orlando,A877,240415223,,2004-02-09 21:17:17.115485,RCL,RLND,04,B,40,9,49,RLNDRCL04B49A877,17,2013,5,1500,building,,apartments,460
696,Flavia,Barone,A878,240415224,,1979-04-11 21:17:17.115485,FLV,BRN,79,D,0,11,11,BRNFLV79D11A878,21,1954,9,1500,building,,apartments,469
697,Ernesto,Montagna,A880,240415225,,1997-10-04 21:17:17.115485,RNST,MNTGN,97,R,0,4,4,MNTGNRNST97R4A880,36,1940,2,1500,building,,apartments,286
698,Francesca,Caputo,A881,240415226,,1973-07-10 21:17:17.115485,FRNCSC,CPT,73,L,40,10,50,CPTFRNCSC73L50A881,49,1963,8,1500,building,,house,190
699,Ezio,Rizzo,A882,241552152,,1991-01-26 21:17:17.115485,Z,RZZ,91,A,40,26,66,RZZZ91A66A882,53,1913,1,1500,building,,apartments,310
700,Gaia,Rossati,A883,241552153,,2001-12-14 21:17:17.115485,G,RSST,01,T,40,14,54,RSSTG01T54A883,45,1961,3,1500,building,,apartments,591
701,Fabiano,Bianco,A884,241552976,,1985-01-06 21:17:17.115485,FBN,BNC,85,A,0,6,6,BNCFBN85A6A884,48,1903,4,1500,building,,,1424
702,Gilda,Bruno,A885,241553350,,1972-03-27 21:17:17.115485,GLD,BRN,72,C,0,27,27,BRNGLD72C27A885,78,1972,3,1500,building,,apartments,181
703,Fabrizio,Caruso,A887,241553351,,1984-04-21 21:17:17.115485,FBRZ,CRS,84,D,0,21,21,CRSFBRZ84D21A887,60,1949,6,1500,building,,apartments,148
704,Grazia,Colombo,A889,241553352,,1990-06-14 21:17:17.115485,GRZ,CLMB,90,H,40,14,54,CLMBGRZ90H54A889,93,2010,8,1500,building,,residential,119
705,Federico,Coppola,A891,241553354,,1981-02-11 21:17:17.115485,FDRC,CPPL,81,B,0,11,11,CPPLFDRC81B11A891,98,1972,1,1500,building,,,218
706,Ilaria,Costa,A892,241553355,,1979-11-15 21:17:17.115485,LR,CST,79,S,40,15,55,CSTLR79S55A892,85,1914,5,1500,building,,,190
707,Ferruccio,De Luca,A893,241553356,,1996-11-11 21:17:17.115485,FRRCC,DLC,96,S,40,11,51,DLCFRRCC96S51A893,3,1921,7,1500,building,,residential,390
708,Imma,De Santis,A894,241553357,,1998-05-09 21:17:17.115485,MM,DSNTS,98,E,40,9,49,DSNTSMM98E49A894,76,1951,5,1500,building,,residential,322
709,Filippo,Donati,A895,241553358,,1966-04-28 21:17:17.115485,FLPP,DNT,66,D,40,28,68,DNTFLPP66D68A895,8,2014,5,1500,building,,apartments,1494
710,Jolanda,Esposito,A896,241553359,,1964-01-14 21:17:17.115485,JLND,SPST,64,A,40,14,54,SPSTJLND64A54A896,42,1948,4,1500,building,,residential,160
711,Fortunato,Farina,A897,241553360,,1982-08-24 21:17:17.115485,FRTNT,FRN,82,M,0,24,24,FRNFRTNT82M24A897,98,2017,1,1500,building,,,116
712,Letizia,Fabbri,A898,241553361,,1997-01-15 21:17:17.115485,LTZ,FBBR,97,A,40,15,55,FBBRLTZ97A55A898,5,2007,9,1500,building,,,485
713,Fulvio,Ferri,A902,241613197,,1986-08-31 21:17:17.115485,FLV,FRR,86,M,40,31,71,FRRFLV86M71A902,71,1996,4,1500,building,,,1641
714,Loredana,Ferrara,A903,242678828,,1980-01-26 21:17:17.115485,LRDN,FRRR,80,A,40,26,66,FRRRLRDN80A66A903,56,2000,9,1500,building,,,384
715,Gavino,Ferrari,A857,242824420,,1967-10-20 21:17:17.115485,GVN,FRRR,67,R,40,20,60,FRRRGVN67R60A857,79,1988,7,1500,building,,roof,1634
716,Maddalena,Fiore,A904,242824629,,1980-02-17 21:17:17.115485,MDDLN,FR,80,B,0,17,17,FRMDDLN80B17A904,58,1908,6,1500,building,,service,687
717,Gennaro,Fontana,A905,242824630,,1966-12-26 21:17:17.115485,GNNR,FNTN,66,T,40,26,66,FNTNGNNR66T66A905,43,1954,8,1500,building,,service,105
718,Marcella,Gallo,M268,242824631,,1989-05-21 21:17:17.115485,MRCLL,GLL,89,E,40,21,61,GLLMRCLL89E61M268,55,1987,4,1500,building,,service,320
719,Gerardo,Gatti,A906,242824632,,1981-01-24 21:17:17.115485,GRRD,GTT,81,A,40,24,64,GTTGRRD81A64A906,6,1914,8,1500,building,,service,102
720,Maria,Graziani,A909,242824633,,1966-07-09 21:17:17.115485,MR,GRZN,66,L,0,9,9,GRZNMR66L9A909,93,1992,5,1500,building,,service,112
721,Giacomo,Greco,A910,243275115,,2004-11-10 21:17:17.115485,GCM,GRC,04,S,0,10,10,GRCGCM04S10A910,29,1997,8,1500,building,,school,1702
722,Marilena,Leone,A911,243653178,,1980-07-11 21:17:17.115485,MRLN,LN,80,L,0,11,11,LNMRLN80L11A911,13,2006,6,1500,building,,,275
723,Giancarlo,Lombardi,A912,243663117,,1992-03-10 21:17:17.115485,GNCRL,LMBRD,92,C,0,10,10,LMBRDGNCRL92C10A912,52,1908,8,1500,building,,,142
724,Marina,Mancini,A914,243663119,,1978-05-10 21:17:17.115485,MRN,MNCN,78,E,40,10,50,MNCNMRN78E50A914,4,1949,4,1500,building,,,213
725,Gianluca,Mariani,A916,243663120,,1992-07-02 21:17:17.115485,GNLC,MRN,92,L,0,2,2,MRNGNLC92L2A916,46,1900,8,1500,building,,,369
726,Maura,Martini,A918,243858101,,1982-01-19 21:17:17.115485,MR,MRTN,82,A,0,19,19,MRTNMR82A19A918,42,1971,6,1500,building,,roof,154
727,Gianmarco,Marini,A919,243858107,,1999-01-16 21:17:17.115485,GNMRC,MRN,99,A,40,16,56,MRNGNMRC99A56A919,88,2010,1,1500,building,,apartments,292
728,Milena,Marino,A920,243858110,,1967-06-27 21:17:17.115485,MLN,MRN,67,H,0,27,27,MRNMLN67H27A920,93,1939,1,1500,building,,retail,220
729,Gianpaolo,Martino,A922,243858115,,1992-03-22 21:17:17.115485,GNPL,MRTN,92,C,40,22,62,MRTNGNPL92C62A922,68,1954,7,1500,building,,apartments,337
730,Miranda,Morelli,A925,244840195,,1967-02-10 21:17:17.115485,MRND,MRLL,67,B,0,10,10,MRLLMRND67B10A925,27,1983,1,1500,building,,apartments,779
731,Giordano,Moretti,A929,244840196,,1972-02-09 21:17:17.115485,GRDN,MRTT,72,B,0,9,9,MRTTGRDN72B9A929,33,1957,3,1500,building,,apartments,689
732,Monica,Neri,A931,244840197,,1988-10-21 21:17:17.115485,MNC,NR,88,R,40,21,61,NRMNC88R61A931,67,1935,5,1500,building,,apartments,709
733,Giosuè,Palmieri,A930,244840198,,1976-06-04 21:17:17.115485,GS,PLMR,76,H,40,4,44,PLMRGS76H44A930,23,1945,2,1500,building,,,805
734,Nadia,Palumbo,A932,244840199,,2000-07-24 21:17:17.115485,ND,PLMB,00,L,40,24,64,PLMBND00L64A932,57,1977,5,1500,building,,apartments,1087
735,Giuliano,Parisi,A937,244840200,,1967-09-12 21:17:17.115485,GLN,PRS,67,P,0,12,12,PRSGLN67P12A937,83,1946,4,1500,building,,apartments,273
736,Natalia,Piazza,A940,244840201,,1964-08-22 21:17:17.115485,NTL,PZZ,64,M,0,22,22,PZZNTL64M22A940,15,1917,4,1500,building,,house,116
737,Giuseppe,Pellegrini,A941,244840202,,1973-09-06 21:17:17.115485,GSPP,PLLGRN,73,P,0,6,6,PLLGRNGSPP73P6A941,28,1917,8,1500,building,,apartments,277
738,Nella,Rinaldi,A944,244840203,,1982-04-19 21:17:17.115485,NLL,RNLD,82,D,40,19,59,RNLDNLL82D59A944,28,1933,4,1500,building,,house,224
739,Graziano,Riva,A945,244840204,,1980-08-31 21:17:17.115485,GRZN,RV,80,M,40,31,71,RVGRZN80M71A945,30,1977,5,1500,building,,house,121
740,Nicoletta,Rizzi,A946,244840205,,2004-05-23 21:17:17.115485,NCLTT,RZZ,04,E,0,23,23,RZZNCLTT04E23A946,4,1973,4,1500,building,,house,237
741,Gregorio,Romano,A947,244840206,,1995-11-18 21:17:17.115485,GRGR,RMN,95,S,40,18,58,RMNGRGR95S58A947,69,1993,8,1500,building,,apartments,277
742,Nunzia,Rossetti,A948,244840207,,1984-03-30 21:17:17.115485,NNZ,RSSTT,84,C,0,30,30,RSSTTNNZ84C30A948,29,1991,5,1500,building,,house,143
743,Italo,Ruggiero,A949,244840208,,1983-03-18 21:17:17.115485,TL,RGGR,83,C,0,18,18,RGGRTL83C18A949,89,1947,8,1500,building,,house,119
744,Oriana,Russo,A950,244840209,,1995-03-28 21:17:17.115485,RN,RSS,95,C,40,28,68,RSSRN95C68A950,90,1929,1,1500,building,,house,106
745,Ivano,Sacco,A953,244840210,,1975-11-27 21:17:17.115485,VN,SCC,75,S,0,27,27,SCCVN75S27A953,44,1988,7,1500,building,,apartments,277
746,Patrizia,Sartori,A954,244840211,,1970-01-16 21:17:17.115485,PTRZ,SRTR,70,A,0,16,16,SRTRPTRZ70A16A954,5,1932,4,1500,building,,house,142
747,Jacopo,Santoro,A952,244840212,,1994-05-24 21:17:17.115485,JCP,SNTR,94,E,40,24,64,SNTRJCP94E64A952,36,2009,3,1500,building,,house,174
748,Piera,Sorrentino,A955,244840213,,1973-07-20 21:17:17.115485,PR,SRRNTN,73,L,0,20,20,SRRNTNPR73L20A955,83,1985,8,1500,building,,house,120
749,Lazzaro,Silvestri,A956,244840214,,1991-05-12 21:17:17.115485,LZZR,SLVSTR,91,E,0,12,12,SLVSTRLZZR91E12A956,52,1901,2,1500,building,,apartments,623
750,Pierina,Testa,A957,244840215,,1980-04-08 21:17:17.115485,PRN,TST,80,D,0,8,8,TSTPRN80D8A957,83,1993,4,1500,building,,apartments,283
751,Leandro,Valentini,A958,244840216,,1986-08-12 21:17:17.115485,LNDR,VLNTN,86,M,40,12,52,VLNTNLNDR86M52A958,47,1947,4,1500,building,,apartments,803
752,Raffaella,Villa,A959,244840217,,1989-11-25 21:17:17.115485,RFFLL,VLL,89,S,40,25,65,VLLRFFLL89S65A959,67,1993,3,1500,building,,apartments,803
753,Liberato,Amato,A960,244840218,,1977-10-25 21:17:17.115485,LBRT,MT,77,R,40,25,65,MTLBRT77R65A960,76,1901,7,1500,building,,apartments,803
754,Romina,Barbieri,A961,244840219,,1983-02-02 21:17:17.115485,RMN,BRBR,83,B,40,2,42,BRBRRMN83B42A961,50,1917,4,1500,building,,house,472
755,Lorenzo,Basile,A963,244840220,,1997-01-20 21:17:17.115485,LRNZ,BSL,97,A,0,20,20,BSLLRNZ97A20A963,69,1960,8,1500,building,,house,202
756,Rosalba,Bernardi,A962,244840221,,1981-12-17 21:17:17.116515,RSLB,BRNRD,81,T,0,17,17,BRNRDRSLB81T17A962,6,2012,8,1500,building,,,574
757,Luciano,Caputo,A964,244840222,,1968-04-21 21:17:17.116515,LCN,CPT,68,D,0,21,21,CPTLCN68D21A964,47,1906,9,1500,building,,apartments,356
758,Rosalia,Carbone,A965,244843405,,1990-11-22 21:17:17.116515,RSL,CRBN,90,S,0,22,22,CRBNRSL90S22A965,100,1910,3,1500,building,,apartments,498
759,Luigi,Conti,A968,244843406,,2005-05-08 21:17:17.116515,LG,CNT,05,E,40,8,48,CNTLG05E48A968,80,2001,4,1500,building,,apartments,363
760,Rossana,Coppola,A970,244843407,,1982-03-15 21:17:17.116515,RSSN,CPPL,82,C,40,15,55,CPPLRSSN82C55A970,24,1953,6,1500,building,,apartments,370
761,Marco,Damico,A971,244843408,,1994-02-01 21:17:17.116515,MRC,DMC,94,B,0,1,1,DMCMRC94B1A971,83,1992,9,1500,building,,industrial,4017
762,Rossella,De Angelis,A972,244843409,,1999-04-27 21:17:17.116515,RSSLL,DNGLS,99,D,0,27,27,DNGLSRSSLL99D27A972,12,1966,2,1500,building,,industrial,9375
763,Mariano,De Rosa,A973,244843410,,1974-12-31 21:17:17.116515,MRN,DRS,74,T,0,31,31,DRSMRN74T31A973,81,1916,7,1500,building,,apartments,260
764,Rosalinda,De Luca,A975,244843411,,1994-03-09 21:17:17.116515,RSLND,DLC,94,C,40,9,49,DLCRSLND94C49A975,20,1998,5,1500,building,,apartments,119
765,Marino,D'Angelo,A976,244843412,,1990-11-23 21:17:17.116515,MRN,DNGL,90,S,0,23,23,DNGLMRN90S23A976,5,1922,8,1500,building,,apartments,117
766,Sabrina,D'Amico,A977,244843413,,1979-03-20 21:17:17.116515,SBRN,DMC,79,C,0,20,20,DMCSBRN79C20A977,57,2001,2,1500,building,,industrial,2652
767,Mario,D'Amore,A978,244843414,,1999-03-09 21:17:17.116515,MR,DMR,99,C,40,9,49,DMRMR99C49A978,36,1923,6,1500,building,,apartments,260
768,Serena,De Santis,A979,244843415,,2001-04-10 21:17:17.116515,SRN,DSNTS,01,D,0,10,10,DSNTSSRN01D10A979,13,1907,3,1500,building,,industrial,9280
769,Marzio,Donati,A981,244843416,,1970-04-19 21:17:17.116515,MRZ,DNT,70,D,40,19,59,DNTMRZ70D59A981,95,1910,3,1500,building,,apartments,1541
770,Silvana,Farina,A982,244921169,,1998-08-15 21:17:17.116515,SLVN,FRN,98,M,0,15,15,FRNSLVN98M15A982,21,1974,4,1500,building,,apartments,595
771,Massimiliano,Ferraro,A983,244921171,,1970-05-28 21:17:17.116515,MSSMLN,FRRR,70,E,40,28,68,FRRRMSSMLN70E68A983,54,1951,2,1500,building,,house,286
772,Silvia,Ferro,A984,244921173,,1986-10-29 21:17:17.116515,SLV,FRR,86,R,40,29,69,FRRSLV86R69A984,6,1916,5,1500,building,,house,808
773,Maurizio,Fontana,A986,244921175,,1999-07-11 21:17:17.116515,MRZ,FNTN,99,L,0,11,11,FNTNMRZ99L11A986,61,1946,1,1500,building,,house,1053
774,Simona,Gallo,A987,244921178,,1992-06-09 21:17:17.116515,SMN,GLL,92,H,40,9,49,GLLSMN92H49A987,22,1948,5,1500,building,,house,605
775,Michele,Gatti,A988,244921180,,1975-10-21 21:17:17.116515,MCHL,GTT,75,R,0,21,21,GTTMCHL75R21A988,89,1970,5,1500,building,,house,392
776,Stefania,Giordano,A989,244921182,,1991-05-29 21:17:17.116515,STFN,GRDN,91,E,40,29,69,GRDNSTFN91E69A989,31,1908,1,1500,building,,apartments,1816
777,Nazzareno,Grassi,A990,244921185,,2001-10-25 21:17:17.116515,NZZRN,GRSS,01,R,40,25,65,GRSSNZZRN01R65A990,87,2019,7,1500,building,,apartments,536
778,Stefania,Greco,A991,244921187,,1970-11-03 21:17:17.116515,STFN,GRC,70,S,40,3,43,GRCSTFN70S43A991,22,1919,3,1500,building,,apartments,1167
779,Nazario,Guerra,A993,244921189,,1997-03-21 21:17:17.116515,NZR,GRR,97,C,40,21,61,GRRNZR97C61A993,85,2009,3,1500,building,,apartments,536
780,Susanna,Lombardo,A998,244921192,,1985-12-24 21:17:17.116515,SSNN,LMBRD,85,T,0,24,24,LMBRDSSNN85T24A998,1,1916,2,1500,building,,apartments,536
781,Nicola,Longo,A992,244921194,,1987-08-09 21:17:17.116515,NCL,LNG,87,M,0,9,9,LNGNCL87M9A992,29,1928,5,1500,building,,apartments,1529
782,Teresa,Marino,A995,244921197,,1992-07-17 21:17:17.116515,TRS,MRN,92,L,0,17,17,MRNTRS92L17A995,81,1959,4,1500,building,,apartments,1082
783,Orazio,Martini,A999,244921199,,1989-01-25 21:17:17.116515,RZ,MRTN,89,A,0,25,25,MRTNRZ89A25A999,50,1918,4,1500,building,,apartments,924
784,Tiziana,Martinelli,B001,244921200,,1993-11-11 21:17:17.116515,TZN,MRTNLL,93,S,0,11,11,MRTNLLTZN93S11B001,14,1987,1,1500,building,,apartments,293
785,Ottavio,Mariani,B002,244921201,,1977-10-21 21:17:17.116515,TTV,MRN,77,R,0,21,21,MRNTTV77R21B002,35,1910,2,1500,building,,house,301
786,Valentina,Mazzola,B003,244921202,,1977-10-18 21:17:17.117024,VLNTN,MZZL,77,R,0,18,18,MZZLVLNTN77R18B003,47,1902,9,1500,building,,apartments,857
787,Pasquale,Mazzoli,B005,244921204,,1998-11-17 21:17:17.117024,PSQL,MZZL,98,S,40,17,57,MZZLPSQL98S57B005,75,1992,7,1500,building,,apartments,262
788,Valeria,Messina,B007,244921205,,1982-11-07 21:17:17.117024,VLR,MSSN,82,S,0,7,7,MSSNVLR82S7B007,81,1990,7,1500,building,,apartments,995
789,Patrizio,Montagna,M352,244921206,,2003-06-21 21:17:17.117024,PTRZ,MNTGN,03,H,0,21,21,MNTGNPTRZ03H21M352,72,1994,6,1500,building,,house,231
790,Vanessa,Montanari,B009,244921207,,1990-07-28 21:17:17.117024,VNSS,MNTNR,90,L,0,28,28,MNTNRVNSS90L28B009,87,1937,9,1500,building,,apartments,841
791,Pietro,Napolitano,M429,244921209,,1984-09-05 21:17:17.117024,PTR,NPLTN,84,P,0,5,5,NPLTNPTR84P5M429,78,1980,3,1500,building,,house,211
792,Vera,Pagano,B010,244921210,,1977-01-12 21:17:17.117024,VR,PGN,77,A,0,12,12,PGNVR77A12B010,20,2016,3,1500,building,,apartments,841
793,Pompeo,Pellegrini,M353,244921211,,1988-07-22 21:17:17.117024,PMP,PLLGRN,88,L,40,22,62,PLLGRNPMP88L62M353,60,1936,1,1500,building,,apartments,841
794,Vittoria,Piazza,M396,244921212,,1987-08-09 21:17:17.117024,VTTR,PZZ,87,M,40,9,49,PZZVTTR87M49M396,80,2010,2,1500,building,,,219
795,Primo,Pinto,B026,244921214,,1979-08-23 21:17:17.117024,PRM,PNT,79,M,40,23,63,PNTPRM79M63B026,41,1926,7,1500,building,,apartments,841
796,Vittoria,Pugliese,B028,244921215,,1964-07-02 21:17:17.117024,VTTR,PGLS,64,L,0,2,2,PGLSVTTR64L2B028,90,1934,4,1500,building,,apartments,630
797,Prospero,Riva,B033,244921216,,1991-06-21 21:17:17.117024,PRSPR,RV,91,H,40,21,61,RVPRSPR91H61B033,83,2006,7,1500,building,,,333
798,Vittoria,Rizzi,B035,244921217,,1975-07-15 21:17:17.117024,VTTR,RZZ,75,L,0,15,15,RZZVTTR75L15B035,36,2002,2,1500,building,,house,85
799,Raffaele,Rizzo,B017,244921218,,1974-11-20 21:17:17.117024,RFFL,RZZ,74,S,40,20,60,RZZRFFL74S60B017,79,2014,8,1500,building,,apartments,712
800,Vittoria,Romano,B036,244921220,,1990-01-11 21:17:17.117024,VTTR,RMN,90,A,40,11,51,RMNVTTR90A51B036,33,1964,2,1500,building,,apartments,841
801,Raimondo,Rossetti,B037,244921221,,1987-06-27 21:17:17.117024,RMND,RSSTT,87,H,0,27,27,RSSTTRMND87H27B037,63,1979,7,1500,building,,apartments,235
802,Vittoria,Ruggiero,B038,244921222,,1965-06-29 21:17:17.117024,VTTR,RGGR,65,H,0,29,29,RGGRVTTR65H29B038,37,2005,2,1500,building,,house,141
803,Raniero,Russo,B043,244921223,,1976-05-21 21:17:17.117024,RNR,RSS,76,E,0,21,21,RSSRNR76E21B043,91,1928,4,1500,building,,apartments,570
804,Vittoria,Sacco,B044,244921224,,2005-10-22 21:17:17.117024,VTTR,SCC,05,R,0,22,22,SCCVTTR05R22B044,51,1945,8,1500,building,,apartments,2033
805,Remigio,Sartori,B042,244921225,,1983-05-17 21:17:17.117024,RMG,SRTR,83,E,0,17,17,SRTRRMG83E17B042,62,1926,8,1500,building,,house,138
806,Vittoria,Serra,M421,244921226,,1973-11-18 21:17:17.117024,VTTR,SRR,73,S,40,18,58,SRRVTTR73S58M421,82,1927,6,1500,building,,house,104
807,Renato,Silvestri,B006,244921227,,1969-12-10 21:17:17.117024,RNT,SLVSTR,69,T,0,10,10,SLVSTRRNT69T10B006,78,1975,9,1500,building,,apartments,378
808,Vittoria,Sorrentino,A996,244921228,,1994-07-10 21:17:17.117024,VTTR,SRRNTN,94,L,40,10,50,SRRNTNVTTR94L50A996,69,1931,4,1500,building,,house,246
809,Riccardo,Testa,M402,244921229,,2005-10-15 21:17:17.117024,RCCRD,TST,05,R,40,15,55,TSTRCCRD05R55M402,1,1998,4,1500,building,UniversitÃ  degli Studi di Milano Bicocca - Residenza Universitaria Del Parco - Edificio U22,dormitory,1120
810,Vittoria,Valentini,B046,244921230,,1979-12-19 21:17:17.117024,VTTR,VLNTN,79,T,40,19,59,VLNTNVTTR79T59B046,25,2003,3,1500,building,,apartments,1522
811,Roberto,Villa,M340,244921231,,1995-04-13 21:17:17.117024,RBRT,VLL,95,D,40,13,53,VLLRBRT95D53M340,60,1981,1,1500,building,,house,133
812,Vittoria,Vitale,M406,244930802,,1970-12-30 21:17:17.117024,VTTR,VTL,70,T,0,30,30,VTLVTTR70T30M406,33,1983,5,1500,building,,house,289
813,Rocco,Amato,B015,244930803,,1980-04-03 21:17:17.117024,RCC,MT,80,D,0,3,3,MTRCC80D3B015,54,2000,5,1500,building,,house,164
814,Vittoria,Barbieri,B016,244930804,,1968-12-12 21:17:17.117024,VTTR,BRBR,68,T,40,12,52,BRBRVTTR68T52B016,24,2016,6,1500,building,,apartments,396
815,Rodolfo,Basile,B018,244930805,,1972-12-25 21:17:17.117024,RDLF,BSL,72,T,0,25,25,BSLRDLF72T25B018,40,1904,4,1500,building,,industrial,4233
816,Vittoria,Bernardi,B019,244930806,,1980-02-21 21:17:17.117024,VTTR,BRNRD,80,B,40,21,61,BRNRDVTTR80B61B019,62,1991,4,1500,building,,apartments,676
817,Rocco,Caputo,B020,244930807,,1973-06-06 21:17:17.117024,RCC,CPT,73,H,0,6,6,CPTRCC73H6B020,93,1931,7,1500,building,,apartments,242
818,Vittoria,Carbone,B021,244930808,,2003-06-11 21:17:17.117024,VTTR,CRBN,03,H,0,11,11,CRBNVTTR03H11B021,33,1977,1,1500,building,Chiesa di Santa Maria Nascente,church,340
819,Rolando,Conti,M370,244930809,,1977-12-02 21:17:17.117024,RLND,CNT,77,T,0,2,2,CNTRLND77T2M370,34,1968,7,1500,building,,apartments,777
820,Vittoria,Coppola,B024,244930810,,1991-09-26 21:17:17.117024,VTTR,CPPL,91,P,40,26,66,CPPLVTTR91P66B024,55,1973,8,1500,building,,apartments,275
821,Romano,Damico,B025,244930811,,2000-06-07 21:17:17.117024,RMN,DMC,00,H,40,7,47,DMCRMN00H47B025,33,1913,1,1500,building,,house,131
822,Vittoria,De Angelis,B029,244930812,,1987-05-21 21:17:17.117024,VTTR,DNGLS,87,E,40,21,61,DNGLSVTTR87E61B029,45,1980,7,1500,building,,,644
823,Romeo,De Rosa,B030,244930813,,1966-03-10 21:17:17.117024,RM,DRS,66,C,40,10,50,DRSRM66C50B030,34,1987,9,1500,building,,house,114
824,Vittoria,De Luca,B031,244930814,,1991-04-12 21:17:17.117024,VTTR,DLC,91,D,0,12,12,DLCVTTR91D12B031,87,1938,3,1500,building,,house,127
825,Romualdo,D'Angelo,B008,244930815,,1967-01-14 21:17:17.117024,RMLD,DNGL,67,A,0,14,14,DNGLRMLD67A14B008,3,1988,1,1500,building,,industrial,1852
826,Vittoria,D'Amico,B040,244930816,,1976-09-29 21:17:17.117024,VTTR,DMC,76,P,0,29,29,DMCVTTR76P29B040,89,1952,8,1500,building,,house,119
827,Rosario,D'Amore,B041,244930817,,1972-06-26 21:17:17.117024,RSR,DMR,72,H,0,26,26,DMRRSR72H26B041,28,1942,3,1500,building,,house,163
828,Vittoria,De Santis,B048,244930818,,1968-10-18 21:17:17.117024,VTTR,DSNTS,68,R,40,18,58,DSNTSVTTR68R58B048,86,1999,9,1500,building,,apartments,311
829,Ruggero,Donati,B049,244930819,,1986-10-01 21:17:17.117024,RGGR,DNT,86,R,40,1,41,DNTRGGR86R41B049,4,1964,7,1500,building,,house,107
830,Vittoria,Farina,B051,244930820,,1975-05-01 21:17:17.117024,VTTR,FRN,75,E,0,1,1,FRNVTTR75E1B051,45,1964,8,1500,building,,house,170
