,nome,cognome,nascita,osm_id,Unnamed: 4,data_nascita,c_nome,c_cognome,anno_nascita,mese_nascita,genere,giorno_nascita,num_giorno,cod_fisc,num,year_built,total_floors
1026,Vittoria,Ferrara,B350,245192304,,1990-02-25 21:17:17.117024,VTTR,FRRR,90,B,0,25,25,FRRRVTTR90B25B350,100,1913,8
1027,Piero,Galli,B351,245192305,,1967-07-05 21:17:17.117024,PR,GLL,67,L,0,5,5,GLLPR67L5B351,74,1938,1
1028,Vittoria,Martini,B352,245192306,,2005-11-08 21:17:17.117024,VTTR,MRTN,05,S,40,8,48,MRTNVTTR05S48B352,46,1943,1
1029,Pietro,Leone,B354,245192307,,2001-01-12 21:17:17.117024,PTR,LN,01,A,0,12,12,LNPTR01A12B354,53,1996,9
1030,Vittoria,Gatti,B355,245192308,,1966-08-25 21:17:17.117024,VTTR,GTT,66,M,0,25,25,GTTVTTR66M25B355,90,1920,9
1031,Raffaele,Bianco,B358,245192309,,1970-08-09 21:17:17.117024,RFFL,BNC,70,M,40,9,49,BNCRFFL70M49B358,72,1999,6
1032,Vittoria,Fabbri,B357,245192310,,1992-02-24 21:17:17.117024,VTTR,FBBR,92,B,40,24,64,FBBRVTTR92B64B357,14,1998,4
1033,Raimondo,Sartori,B361,245192311,,1964-12-19 21:17:17.117024,RMND,SRTR,64,T,40,19,59,SRTRRMND64T59B361,7,1905,9
1034,Vittoria,Monti,B362,245192312,,1971-05-08 21:17:17.117024,VTTR,MNT,71,E,40,8,48,MNTVTTR71E48B362,16,1935,7
1035,Renato,Villa,B364,245192313,,1969-12-13 21:17:17.117024,RNT,VLL,69,T,0,13,13,VLLRNT69T13B364,66,1923,9
1036,Vittoria,Amato,B365,245192314,,1970-08-14 21:17:17.117024,VTTR,MT,70,M,0,14,14,MTVTTR70M14B365,87,1978,1
1037,Riccardo,Marini,B366,245192315,,1988-07-12 21:17:17.117024,RCCRD,MRN,88,L,40,12,52,MRNRCCRD88L52B366,35,2004,6
1038,Vittoria,De Santis,B367,245192316,,1980-04-27 21:17:17.117024,VTTR,DSNTS,80,D,40,27,67,DSNTSVTTR80D67B367,76,1978,5
1039,Roberto,Palumbo,B368,245192317,,1975-12-05 21:17:17.117024,RBRT,PLMB,75,T,40,5,45,PLMBRBRT75T45B368,23,2008,8
1040,Vittoria,Bernardi,B369,245192318,,1989-01-11 21:17:17.117024,VTTR,BRNRD,89,A,40,11,51,BRNRDVTTR89A51B369,86,1942,8
1041,Rocco,Fiore,B371,245192319,,1981-11-04 21:17:17.117024,RCC,FR,81,S,40,4,44,FRRCC81S44B371,77,2015,6
1042,Vittoria,Farina,B374,245192320,,1986-01-07 21:17:17.117024,VTTR,FRN,86,A,0,7,7,FRNVTTR86A7B374,28,1948,5
1043,Rodolfo,Ferri,B375,245192322,,1985-06-07 21:17:17.117024,RDLF,FRR,85,H,40,7,47,FRRRDLF85H47B375,80,1917,2
1044,Vittoria,Pellegrini,B376,245192323,,1988-02-23 21:17:17.117024,VTTR,PLLGRN,88,B,0,23,23,PLLGRNVTTR88B23B376,77,1995,3
1045,Rocco,Damico,B377,245193809,,1971-07-29 21:17:17.117024,RCC,DMC,71,L,40,29,69,DMCRCC71L69B377,48,1929,1
1046,Vittoria,Basile,B378,245194564,,1970-04-21 21:17:17.117024,VTTR,BSL,70,D,0,21,21,BSLVTTR70D21B378,81,1946,7
1047,Rolando,Rossetti,B379,245194565,,1991-05-10 21:17:17.117024,RLND,RSSTT,91,E,0,10,10,RSSTTRLND91E10B379,4,1989,8
1048,Vittoria,Graziani,B380,245194566,,1977-01-31 21:17:17.117024,VTTR,GRZN,77,A,40,31,71,GRZNVTTR77A71B380,59,1987,6
1049,Romano,Palmieri,B381,245194581,,1975-02-03 21:17:17.117024,RMN,PLMR,75,B,40,3,43,PLMRRMN75B43B381,88,1910,1
1050,Vittoria,Donati,B382,245194585,,1969-04-10 21:17:17.117024,VTTR,DNT,69,D,0,10,10,DNTVTTR69D10B382,5,1970,1
1051,Romeo,Battaglia,B383,245194586,,1988-09-15 21:17:17.117024,RM,BTTGL,88,P,40,15,55,BTTGLRM88P55B383,21,2015,9
1052,Vittoria,Martino,B384,245197850,,2004-04-15 21:17:17.117024,VTTR,MRTN,04,D,0,15,15,MRTNVTTR04D15B384,22,1927,6
1053,Romualdo,Rizzi,B385,245197851,,1976-05-08 21:17:17.117024,RMLD,RZZ,76,E,0,8,8,RZZRMLD76E8B385,60,1965,3
1054,Vittoria,Neri,B388,245197852,,1967-11-24 21:17:17.117024,VTTR,NR,67,S,40,24,64,NRVTTR67S64B388,44,1953,7
1055,Rosario,Vitale,B389,245197854,,1981-09-16 21:17:17.117024,RSR,VTL,81,P,40,16,56,VTLRSR81P56B389,99,1907,6
1056,Vittoria,De Angelis,B390,245197855,,1973-04-26 21:17:17.117024,VTTR,DNGLS,73,D,0,26,26,DNGLSVTTR73D26B390,17,1972,5
1057,Ruggero,Serra,B391,245590639,,1983-01-19 21:17:17.117024,RGGR,SRR,83,A,40,19,59,SRRRGGR83A59B391,97,1935,5
1058,Vittoria,Coppola,B392,245590640,,1987-07-05 21:17:17.117024,VTTR,CPPL,87,L,40,5,45,CPPLVTTR87L45B392,23,1918,7
1059,Salvatore,Testa,B393,245590641,,2000-08-22 21:17:17.117024,SLVTR,TST,00,M,40,22,62,TSTSLVTR00M62B393,73,1911,2
1060,Vittoria,Piazza,B394,245590644,,1986-02-04 21:17:17.117024,VTTR,PZZ,86,B,0,4,4,PZZVTTR86B4B394,34,1958,3
1061,Samuele,Ferraro,B395,245590645,,1989-08-23 21:17:17.117024,SML,FRRR,89,M,40,23,63,FRRRSML89M63B395,45,1916,2
1062,Vittoria,Valentini,B396,245590646,,1972-06-19 21:17:17.117024,VTTR,VLNTN,72,H,0,19,19,VLNTNVTTR72H19B396,45,2002,7
1063,Sandro,Bianchini,B397,245590647,,1967-05-09 21:17:17.117024,SNDR,BNCHN,67,E,40,9,49,BNCHNSNDR67E49B397,22,1995,2
1064,Vittoria,Benedetti,B398,245590648,,1999-03-22 21:17:17.117024,VTTR,BNDTT,99,C,0,22,22,BNDTTVTTR99C22B398,95,1992,3
1065,Santino,Parisi,B399,245591035,,1975-12-04 21:17:17.117024,SNTN,PRS,75,T,40,4,44,PRSSNTN75T44B399,47,1976,8
1066,Vittoria,Sacco,B400,245591036,,1965-11-12 21:17:17.117024,VTTR,SCC,65,S,0,12,12,SCCVTTR65S12B400,36,1926,5
1067,Santo,De Rosa,B402,245591037,,1982-10-18 21:17:17.117024,SNT,DRS,82,R,40,18,58,DRSSNT82R58B402,80,1945,9
1068,Vittoria,Ferretti,B403,245591038,,1997-12-15 21:17:17.117024,VTTR,FRRTT,97,T,40,15,55,FRRTTVTTR97T55B403,13,2017,3
1069,Sebastiano,Morelli,B404,245591039,,1989-11-07 21:17:17.117024,SBSTN,MRLL,89,S,40,7,47,MRLLSBSTN89S47B404,1,1971,8
1070,Vittoria,Russo,B405,245591040,,1972-06-24 21:17:17.117024,VTTR,RSS,72,H,0,24,24,RSSVTTR72H24B405,21,2006,1
1071,Secondo,Contini,B406,245591041,,1964-06-16 21:17:17.117024,SCND,CNTN,64,H,0,16,16,CNTNSCND64H16B406,12,1956,9
1072,Vittoria,Mazzoli,B408,245591042,,1998-09-22 21:17:17.117024,VTTR,MZZL,98,P,40,22,62,MZZLVTTR98P62B408,38,1935,7
1073,Sergio,Colombo,B410,245628359,,1987-12-05 21:17:17.117024,SRG,CLMB,87,T,0,5,5,CLMBSRG87T5B410,28,1939,2
1074,Vittoria,Mancini,B409,245628360,,1980-04-07 21:17:17.117024,VTTR,MNCN,80,D,0,7,7,MNCNVTTR80D7B409,27,1910,7
1075,Silvano,Rosati,B413,245628361,,1964-01-05 21:17:17.117024,SLVN,RST,64,A,40,5,45,RSTSLVN64A45B413,83,1949,4
1076,Vittoria,De Luca,B415,245628362,,1992-11-30 21:17:17.117024,VTTR,DLC,92,S,0,30,30,DLCVTTR92S30B415,70,1976,8
1077,Silverio,Costa,B416,245628363,,1995-03-22 21:17:17.117024,SLVR,CST,95,C,0,22,22,CSTSLVR95C22B416,39,1998,5
1078,Vittoria,Gallo,B417,245628364,,2001-04-13 21:17:17.117024,VTTR,GLL,01,D,40,13,53,GLLVTTR01D53B417,31,1948,1
1079,Siro,Santoro,B419,245628365,,2004-05-29 21:17:17.117024,SR,SNTR,04,E,0,29,29,SNTRSR04E29B419,26,1969,5
1080,Vittoria,Caputo,B418,245628366,,1990-09-22 21:17:17.117024,VTTR,CPT,90,P,0,22,22,CPTVTTR90P22B418,48,2004,6
1081,Stefano,D'Angelo,B423,245628367,,1999-11-25 21:17:17.117024,STFN,DNGL,99,S,0,25,25,DNGLSTFN99S25B423,48,1995,7
1082,Vittoria,Benedetto,B424,245628368,,1978-11-30 21:17:17.117024,VTTR,BNDTT,78,S,40,30,70,BNDTTVTTR78S70B424,26,1955,9
1083,Taddeo,Marchetti,B425,245628369,,2003-07-02 21:17:17.117024,TDD,MRCHTT,03,L,40,2,42,MRCHTTTDD03L42B425,67,1910,8
1084,Vittoria,D'Amico,B426,245628370,,1972-05-17 21:17:17.117024,VTTR,DMC,72,E,0,17,17,DMCVTTR72E17B426,65,1995,7
1085,Terenzio,Moretti,B427,245628371,,1979-05-05 21:17:17.117024,TRNZ,MRTT,79,E,0,5,5,MRTTTRNZ79E5B427,62,1966,8
1086,Vittoria,Silvestri,B428,245628372,,1970-11-25 21:17:17.117024,VTTR,SLVSTR,70,S,40,25,65,SLVSTRVTTR70S65B428,75,1989,3
1087,Tiberio,Rinaldi,B429,245628373,,1995-12-16 21:17:17.117024,TBR,RNLD,95,T,0,16,16,RNLDTBR95T16B429,57,1912,6
1088,Vittoria,Montanari,B430,245628374,,1970-11-30 21:17:17.117024,VTTR,MNTNR,70,S,40,30,70,MNTNRVTTR70S70B430,85,1979,5
1089,Tiburzio,Caruso,B431,245628375,,1969-01-18 21:17:17.117024,TBRZ,CRS,69,A,40,18,58,CRSTBRZ69A58B431,90,1914,6
1090,Vittoria,Gatti,B432,245628376,,1973-09-10 21:17:17.117024,VTTR,GTT,73,P,0,10,10,GTTVTTR73P10B432,79,2015,9
1091,Timoteo,Battaglia,B433,245628377,,2003-08-28 21:17:17.117024,TMT,BTTGL,03,M,0,28,28,BTTGLTMT03M28B433,13,1906,3
1092,Vittoria,Silvestri,B434,245628378,,2005-06-21 21:17:17.117024,VTTR,SLVSTR,05,H,40,21,61,SLVSTRVTTR05H61B434,70,1924,3
1093,Tito,Palumbo,B435,245628379,,1979-12-01 21:17:17.117024,TT,PLMB,79,T,0,1,1,PLMBTT79T1B435,92,1904,3
1094,Vittoria,Fiore,B436,245628380,,1995-01-31 21:17:17.117024,VTTR,FR,95,A,40,31,71,FRVTTR95A71B436,14,1960,7
1095,Tommaso,Sartori,B437,245628381,,1992-06-25 21:17:17.117024,TMMS,SRTR,92,H,0,25,25,SRTRTMMS92H25B437,33,1999,1
1096,Vittoria,Damico,B439,245628382,,1974-05-12 21:17:17.117024,VTTR,DMC,74,E,40,12,52,DMCVTTR74E52B439,40,2009,6
1097,Tonino,Villa,B440,245628383,,1977-01-31 21:17:17.117024,TNN,VLL,77,A,40,31,71,VLLTNN77A71B440,20,1909,4
1098,Vittoria,Coppola,B441,245628384,,1996-03-31 21:17:17.117024,VTTR,CPPL,96,C,40,31,71,CPPLVTTR96C71B441,80,1953,4
1099,Ubaldo,Farina,B442,245628385,,1976-09-25 21:17:17.117024,BLD,FRN,76,P,40,25,65,FRNBLD76P65B442,69,1963,2
1100,Vittoria,Lombardo,B443,245628386,,1969-04-11 21:17:17.117024,VTTR,LMBRD,69,D,0,11,11,LMBRDVTTR69D11B443,89,1970,3
1101,Uberto,Mariani,B444,245628387,,1983-11-25 21:17:17.117024,BRT,MRN,83,S,40,25,65,MRNBRT83S65B444,13,1928,2
1102,Vittoria,Ferri,B446,245628388,,1992-09-28 21:17:17.117024,VTTR,FRR,92,P,0,28,28,FRRVTTR92P28B446,86,1908,6
1103,Ugo,Monti,B445,245628389,,1967-08-31 21:17:17.117024,G,MNT,67,M,0,31,31,MNTG67M31B445,27,1970,8
1104,Vittoria,Neri,B447,245628390,,1994-03-19 21:17:17.117024,VTTR,NR,94,C,0,19,19,NRVTTR94C19B447,36,1922,4
1105,Ulisse,Pellegrini,B448,245628391,,1991-07-04 21:17:17.117024,LSS,PLLGRN,91,L,0,4,4,PLLGRNLSS91L4B448,45,1905,1
1106,Vittoria,Basile,B450,245628392,,1990-09-15 21:17:17.117024,VTTR,BSL,90,P,0,15,15,BSLVTTR90P15B450,92,1997,8
1107,Urbano,Rossetti,B452,245628393,,1974-05-10 21:17:17.117024,RBN,RSSTT,74,E,40,10,50,RSSTTRBN74E50B452,75,1964,7
1108,Vittoria,Graziani,B453,245628394,,1992-10-08 21:17:17.117024,VTTR,GRZN,92,R,0,8,8,GRZNVTTR92R8B453,65,1936,3
1109,Valentino,Palmieri,B455,245628395,,1966-05-26 21:17:17.117024,VLNTN,PLMR,66,E,0,26,26,PLMRVLNTN66E26B455,47,1908,8
1110,Vittoria,Donati,B457,245628396,,2003-06-11 21:17:17.117024,VTTR,DNT,03,H,0,11,11,DNTVTTR03H11B457,99,1915,7
1111,Valerio,Martino,B460,245628397,,1989-06-13 21:17:17.117024,VLR,MRTN,89,H,0,13,13,MRTNVLR89H13B460,38,1904,3
1112,Vittoria,Rizzi,B461,245628398,,1966-07-08 21:17:17.117024,VTTR,RZZ,66,L,40,8,48,RZZVTTR66L48B461,51,1993,7
1113,Vanni,Vitale,B462,245628399,,1993-08-25 21:17:17.117024,VNN,VTL,93,M,40,25,65,VTLVNN93M65B462,96,1971,7
1114,Vittoria,De Angelis,B463,245628400,,1990-11-05 21:17:17.117024,VTTR,DNGLS,90,S,40,5,45,DNGLSVTTR90S45B463,91,1971,2
1115,Vincenzo,Serra,B465,245628401,,1996-02-13 21:17:17.117024,VNCNZ,SRR,96,B,40,13,53,SRRVNCNZ96B53B465,94,1905,1
1116,Vittoria,Testa,B467,245628402,,1991-10-15 21:17:17.117024,VTTR,TST,91,R,40,15,55,TSTVTTR91R55B467,96,2012,8
1117,Vitale,Piazza,B468,245628403,,1989-03-03 21:17:17.117024,VTL,PZZ,89,C,40,3,43,PZZVTL89C43B468,4,1907,9
1118,Vittoria,Ferraro,B469,245628917,,2001-10-01 21:17:17.117024,VTTR,FRRR,01,R,0,1,1,FRRRVTTR01R1B469,23,1985,5
1119,Vittorio,Valentini,B471,245628918,,2001-10-14 21:17:17.117024,VTTR,VLNTN,01,R,0,14,14,VLNTNVTTR01R14B471,17,1921,5
1120,Vittoria,Bianchini,B472,245628919,,1978-04-27 21:17:17.117024,VTTR,BNCHN,78,D,40,27,67,BNCHNVTTR78D67B472,19,2014,6
1121,Vittore,Benedetti,B470,245628920,,1985-12-28 21:17:17.117024,VTTR,BNDTT,85,T,40,28,68,BNDTTVTTR85T68B470,36,2008,2
1122,Vittoria,Parisi,B473,245628921,,1975-03-05 21:17:17.117024,VTTR,PRS,75,C,0,5,5,PRSVTTR75C5B473,4,1931,7
1123,Zaccheo,Sacco,B474,245628926,,1966-06-13 21:17:17.117024,ZCCH,SCC,66,H,40,13,53,SCCZCCH66H53B474,9,2008,9
1124,Vittoria,De Rosa,B476,245631634,,2001-07-05 21:17:17.117024,VTTR,DRS,01,L,0,5,5,DRSVTTR01L5B476,95,1907,9
1125,Zaccaria,Ferretti,B477,245631635,,2003-07-01 21:17:17.117024,ZCCR,FRRTT,03,L,40,1,41,FRRTTZCCR03L41B477,10,2012,3
1126,Vittoria,Morelli,B481,245631637,,1967-04-03 21:17:17.117024,VTTR,MRLL,67,D,0,3,3,MRLLVTTR67D3B481,86,1916,2
1127,Mario,Lombardi,B482,245631639,,1975-03-28 21:17:17.117024,MR,LMBRD,75,C,40,28,68,LMBRDMR75C68B482,13,1982,5
1128,Sofia,Russo,B483,245631641,,1994-12-26 21:17:17.117024,SF,RSS,94,T,40,26,66,RSSSF94T66B483,50,2016,6
1129,Francesco,Contini,B484,245631642,,1983-11-06 21:17:17.117024,FRNCSC,CNTN,83,S,0,6,6,CNTNFRNCSC83S6B484,39,1931,4
1130,Giulia,Mazzoli,B485,245631644,,1971-01-19 21:17:17.117024,GL,MZZL,71,A,0,19,19,MZZLGL71A19B485,26,1977,6
1131,Leonardo,Rosati,B486,245631646,,1978-08-09 21:17:17.117024,LNRD,RST,78,M,40,9,49,RSTLNRD78M49B486,1,1932,2
1132,Chiara,De Luca,B490,245631648,,1990-06-08 21:17:17.117024,CHR,DLC,90,H,0,8,8,DLCCHR90H8B490,42,1942,1
1133,Luca,Costa,B492,245631650,,1971-11-27 21:17:17.117024,LC,CST,71,S,40,27,67,CSTLC71S67B492,96,1936,5
1134,Martina,Gallo,B493,245631652,,1998-06-08 21:17:17.117024,MRTN,GLL,98,H,0,8,8,GLLMRTN98H8B493,2,1976,7
1135,Lorenzo,Santoro,B496,245631653,,1979-09-01 21:17:17.117024,LRNZ,SNTR,79,P,0,1,1,SNTRLRNZ79P1B496,44,1940,1
1136,Aurora,Caputo,B497,245631654,,1999-08-11 21:17:17.117024,RR,CPT,99,M,0,11,11,CPTRR99M11B497,55,1997,5
1137,Andrea,D'Angelo,B498,245631656,,1972-05-27 21:17:17.117024,NDR,DNGL,72,E,0,27,27,DNGLNDR72E27B498,64,1943,5
1138,Alice,Benedetto,B499,245631657,,1976-08-30 21:17:17.117024,LC,BNDTT,76,M,40,30,70,BNDTTLC76M70B499,48,1994,5
1139,Matteo,Marchetti,B500,245631659,,1992-12-23 21:17:17.117024,MTT,MRCHTT,92,T,40,23,63,MRCHTTMTT92T63B500,12,1968,2
1140,Emma,D'Amico,B501,245631660,,1984-01-24 21:17:17.117024,MM,DMC,84,A,0,24,24,DMCMM84A24B501,92,1901,3
1141,Gabriele,Moretti,B502,245631662,,2002-06-04 21:17:17.117024,GBRL,MRTT,02,H,40,4,44,MRTTGBRL02H44B502,35,1999,6
1142,Greta,Silvestri,B504,245631663,,1998-02-11 21:17:17.117024,GRT,SLVSTR,98,B,0,11,11,SLVSTRGRT98B11B504,48,2012,1
1143,Alessandro,Rinaldi,B505,245631665,,1968-01-14 21:17:17.117024,LSSNDR,RNLD,68,A,0,14,14,RNLDLSSNDR68A14B505,61,2018,2
1144,Giorgia,Montanari,B507,245631666,,1984-11-10 21:17:17.117024,GRG,MNTNR,84,S,40,10,50,MNTNRGRG84S50B507,21,1987,6
1145,Giuseppe,Caruso,B506,245631668,,1996-09-22 21:17:17.117024,GSPP,CRS,96,P,40,22,62,CRSGSPP96P62B506,1,1903,8
1146,Valentina,Gatti,M373,245631669,,1996-12-19 21:17:17.117024,VLNTN,GTT,96,T,0,19,19,GTTVLNTN96T19M373,87,1952,7
1147,Edoardo,Battaglia,B511,245631671,,1995-11-02 21:17:17.117024,DRD,BTTGL,95,S,0,2,2,BTTGLDRD95S2B511,5,1944,5
1148,Elena,Silvestri,B509,245631672,,1987-12-25 21:17:17.117024,LN,SLVSTR,87,T,40,25,65,SLVSTRLN87T65B509,48,1963,7
1149,Giovanni,Palumbo,B512,245631674,,1969-11-14 21:17:17.117024,GVNN,PLMB,69,S,40,14,54,PLMBGVNN69S54B512,75,1984,2
1150,Beatrice,Fiore,B513,245631675,,1994-03-01 21:17:17.117024,BTRC,FR,94,C,0,1,1,FRBTRC94C1B513,9,1984,4
1151,Davide,Sartori,B514,245631677,,2005-07-11 21:17:17.117024,DVD,SRTR,05,L,40,11,51,SRTRDVD05L51B514,82,1907,5
1152,Giuliana,Damico,B515,245631678,,1987-09-24 21:17:17.117024,GLN,DMC,87,P,0,24,24,DMCGLN87P24B515,86,1944,3
1153,Federico,Villa,B516,245631680,,1995-11-05 21:17:17.117024,FDRC,VLL,95,S,0,5,5,VLLFDRC95S5B516,21,1981,1
1154,Sara,Coppola,B526,245631682,,2003-09-23 21:17:17.117024,SR,CPPL,03,P,0,23,23,CPPLSR03P23B526,90,1930,1
1155,Alessio,Farina,B529,245631683,,1971-09-08 21:17:17.117024,LSS,FRN,71,P,0,8,8,FRNLSS71P8B529,71,1987,1
1156,Eleonora,Lombardo,B538,245631685,,1986-02-28 21:17:17.117024,LNR,LMBRD,86,B,0,28,28,LMBRDLNR86B28B538,62,2012,8
1157,Antonio,De Santis,B553,245631687,,1991-12-27 21:17:17.117024,NTN,DSNTS,91,T,0,27,27,DSNTSNTN91T27B553,97,1988,9
1158,Vittoria,Bernardi,B564,245631689,,1997-06-01 21:17:17.117024,VTTR,BRNRD,97,H,40,1,41,BRNRDVTTR97H41B564,26,1947,2
1159,Tommaso,Fiore,B570,245631691,,1977-01-02 21:17:17.117024,TMMS,FR,77,A,0,2,2,FRTMMS77A2B570,15,1925,6
1160,Francesca,Mancini,B519,245631692,,1990-06-21 21:17:17.117024,FRNCSC,MNCN,90,H,40,21,61,MNCNFRNCSC90H61B519,68,2001,3
1161,Simone,Rizzo,B520,247327150,,1997-01-10 21:17:17.117024,SMN,RZZ,97,A,0,10,10,RZZSMN97A10B520,18,1955,2
1162,Carolina,Mariani,B521,256301644,,1964-05-05 21:17:17.117024,CRLN,MRN,64,E,40,5,45,MRNCRLN64E45B521,72,1984,5
1163,Marco,Carbone,B522,256301645,,1987-07-31 21:17:17.117024,MRC,CRBN,87,L,40,31,71,CRBNMRC87L71B522,82,1918,6
1164,Chiaretta,Ruggiero,B524,256301646,,1991-06-25 21:17:17.117024,CHRTT,RGGR,91,H,40,25,65,RGGRCHRTT91H65B524,78,1935,1
1165,Filippo,Sorrentino,B525,260586445,,1966-03-06 21:17:17.117024,FLPP,SRRNTN,66,C,0,6,6,SRRNTNFLPP66C6B525,67,1984,3
1166,Teresa,Ferro,B527,260586446,,1970-09-21 21:17:17.117024,TRS,FRR,70,P,40,21,61,FRRTRS70P61B527,1,1925,8
1167,Michele,Fabbri,B528,260586447,,1973-05-22 21:17:17.117024,MCHL,FBBR,73,E,40,22,62,FBBRMCHL73E62B528,71,1995,9
1168,Angelica,Napolitano,B530,260586448,,1966-11-07 21:17:17.117024,NGLC,NPLTN,66,S,40,7,47,NPLTNNGLC66S47B530,54,1956,8
1169,Mattia,Bianco,B531,260586449,,1972-10-24 21:17:17.117024,MTT,BNC,72,R,40,24,64,BNCMTT72R64B531,68,1913,9
1170,Caterina,Russo,B533,260586450,,1999-04-19 21:17:17.117024,CTRN,RSS,99,D,0,19,19,RSSCTRN99D19B533,61,1901,1
1171,Stefano,Moretti,B532,260586451,,1998-09-26 21:17:17.117024,STFN,MRTT,98,P,40,26,66,MRTTSTFN98P66B532,80,2013,7
1172,Ludovica,Martinelli,B534,260586452,,1982-05-16 21:17:17.117024,LDVC,MRTNLL,82,E,0,16,16,MRTNLLLDVC82E16B534,3,1958,5
1173,Christian,Riva,B535,260586514,,1984-07-01 21:17:17.117024,CHRSTN,RV,84,L,0,1,1,RVCHRSTN84L1B535,10,1981,4
1174,Irene,Guerra,B536,260586790,,2004-12-03 21:17:17.117024,RN,GRR,04,T,40,3,43,GRRRN04T43B536,10,2010,7
1175,Niccolò,De Angelis,B537,260586791,,1991-07-31 21:17:17.117024,NCCL,DNGLS,91,L,0,31,31,DNGLSNCCL91L31B537,47,1998,1
1176,Rebecca,Palumbo,B539,260586792,,1965-05-04 21:17:17.117024,RBCC,PLMB,65,E,0,4,4,PLMBRBCC65E4B539,66,2004,8
1177,Raffaele,Pagano,B541,260586894,,2005-01-17 21:17:17.117024,RFFL,PGN,05,A,40,17,57,PGNRFFL05A57B541,61,1998,6
1178,Elisa,Martino,B543,6447185,,1964-03-31 21:17:17.117024,LS,MRTN,64,C,0,31,31,MRTNLS64C31B543,13,1941,9
1179,Daniele,Pellegrino,B542,266106840,,1971-10-11 21:17:17.117024,DNL,PLLGRN,71,R,40,11,51,PLLGRNDNL71R51B542,40,1997,3
1180,Veronica,Giordano,B544,266106841,,1974-03-01 21:17:17.117024,VRNC,GRDN,74,C,0,1,1,GRDNVRNC74C1B544,79,1912,4
1181,Fabio,Testa,B546,266106842,,1970-09-15 21:17:17.117024,FB,TST,70,P,40,15,55,TSTFB70P55B546,55,1912,8
1182,Gloria,Martini,M311,266106843,,1964-08-01 21:17:17.117024,GLR,MRTN,64,M,40,1,41,MRTNGLR64M41M311,98,1970,9
1183,Paolo,Bernardini,B549,266106844,,2004-12-09 21:17:17.117024,PL,BRNRDN,04,T,40,9,49,BRNRDNPL04T49B549,51,1930,4
1184,Benedetta,Messina,B550,266106845,,1991-02-01 21:17:17.117024,BNDTT,MSSN,91,B,40,1,41,MSSNBNDTT91B41B550,100,1928,2
1185,Enrico,Pugliese,B551,266106846,,1997-06-03 21:17:17.117024,NRC,PGLS,97,H,40,3,43,PGLSNRC97H43B551,79,1936,1
1186,Adelaide,Esposito,B554,266106847,,1970-02-19 21:17:17.117024,DLD,SPST,70,B,40,19,59,SPSTDLD70B59B554,26,2004,4
1187,Manuel,D'Amore,B555,266106848,,1987-12-11 21:17:17.117024,MNL,DMR,87,T,0,11,11,DMRMNL87T11B555,54,2004,9
1188,Rosanna,Pinto,B556,285491590,,1973-06-28 21:17:17.117024,RSNN,PNT,73,H,40,28,68,PNTRSNN73H68B556,3,1918,1
1189,Vincenzo,Benedetti,B557,285875312,,1997-11-23 21:17:17.117024,VNCNZ,BNDTT,97,S,40,23,63,BNDTTVNCNZ97S63B557,73,1927,8
1190,Marika,Ferrara,B559,285875313,,1999-05-26 21:17:17.117024,MRK,FRRR,99,E,0,26,26,FRRRMRK99E26B559,63,1998,2
1191,Valerio,Rizzo,B562,285875314,,1967-03-21 21:17:17.117024,VLR,RZZ,67,C,40,21,61,RZZVLR67C61B562,98,1990,5
1192,Marta,Longo,B561,285875315,,2001-11-12 21:17:17.117024,MRT,LNG,01,S,40,12,52,LNGMRT01S52B561,48,1984,5
1193,Cristiano,Barbieri,B563,285875316,,1985-06-18 21:17:17.117024,CRSTN,BRBR,85,H,40,18,58,BRBRCRSTN85H58B563,19,1923,3
1194,Isabella,Amato,B565,285875317,,1985-08-11 21:17:17.117024,SBLL,MT,85,M,0,11,11,MTSBLL85M11B565,43,2004,3
1195,Michele,Leone,B566,285875318,,2001-09-01 21:17:17.117024,MCHL,LN,01,P,40,1,41,LNMCHL01P41B566,98,1949,9
1196,Angelina,Orlando,B567,285875763,,1978-03-29 21:17:17.117024,NGLN,RLND,78,C,0,29,29,RLNDNGLN78C29B567,71,1961,6
1197,Massimo,Barone,B569,285875764,,1984-01-24 21:17:17.117024,MSSM,BRN,84,A,40,24,64,BRNMSSM84A64B569,75,1912,7
1198,Benedetta,Montagna,B572,285875765,,1993-05-04 21:17:17.117024,BNDTT,MNTGN,93,E,0,4,4,MNTGNBNDTT93E4B572,20,1929,3
1199,Renato,Caputo,B577,285875766,,1996-10-19 21:17:17.117024,RNT,CPT,96,R,0,19,19,CPTRNT96R19B577,3,1929,7
1200,Bianca,Rizzo,B573,285875767,,1999-12-05 21:17:17.117024,BNC,RZZ,99,T,0,5,5,RZZBNC99T5B573,19,1936,1
1201,Salvatore,Rossati,B574,285875768,,1991-10-02 21:17:17.117024,SLVTR,RSST,91,R,40,2,42,RSSTSLVTR91R42B574,32,1988,8
1202,Carlotta,Bianco,B576,285875769,,1977-10-21 21:17:17.117024,CRLTT,BNC,77,R,40,21,61,BNCCRLTT77R61B576,80,1904,1
1203,Giulio,Bruno,B578,285876963,,1996-01-14 21:17:17.117024,GL,BRN,96,A,40,14,54,BRNGL96A54B578,34,1931,6
1204,Letizia,Caruso,B579,285876964,,1984-09-03 21:17:17.117024,LTZ,CRS,84,P,40,3,43,CRSLTZ84P43B579,78,1910,6
